area_fips,county,state,population,num_uninsured_total,pct_uninsured_total,september_employment_selected_industries,september_jobs_per_thousand_selected_industries,september_employment_lq_selected_industries
01003,Baldwin County,Alabama,208107,19119,11.3,16177,213,1.72
01077,Lauderdale County,Alabama,92585,8213,11.3,4631,156,1.26
01081,Lee County,Alabama,159287,14323,10.4,9810,160,1.29
02020,Anchorage Municipality,Alaska,296112,32847,12.7,24602,163,1.31
02060,Bristol Bay Borough,Alaska,890,128,17.4,283,202,1.63
02068,Denali Borough,Alaska,2232,248,14,2279,720,5.8
02090,Fairbanks North Star Borough,Alaska,99653,11342,13.2,5656,148,1.2
02110,Juneau City and Borough,Alaska,32330,3641,13.4,3719,199,1.6
02122,Kenai Peninsula Borough,Alaska,58220,7679,16,4074,195,1.57
02130,Ketchikan Gateway Borough,Alaska,13804,1995,17.2,2178,260,2.1
02164,Lake and Peninsula Borough,Alaska,1375,366,25.3,372,352,2.83
02170,Matanuska-Susitna Borough,Alaska,103464,13772,14.8,4354,171,1.38
02220,Sitka City and Borough,Alaska,8738,1335,18.3,866,184,1.48
02230,Skagway Municipality,Alaska,1061,139,14.1,641,449,3.62
02261,Valdez-Cordova Census Area,Alaska,9301,1193,14.9,1042,182,1.46
04005,Coconino County,Arizona,140217,14874,13.1,17006,263,2.12
04015,Mohave County,Arizona,206064,18843,13.4,7806,152,1.23
04017,Navajo County,Arizona,108705,13205,15.1,4116,149,1.2
04019,Pima County,Arizona,1019722,87312,10.9,47739,127,1.02
04023,Santa Cruz County,Arizona,46584,5250,14,1915,150,1.21
04025,Yavapai County,Arizona,224645,20081,12.9,11059,168,1.36
05143,Washington County,Arkansas,228529,24582,12.4,14593,132,1.06
06037,Los Angeles County,California,10098052,872284,10.1,655032,146,1.17
06053,Monterey County,California,433212,41482,11.5,27330,128,1.03
06083,Santa Barbara County,California,443738,38236,10.5,29781,142,1.15
08031,Denver County,Colorado,693417,65375,10.7,89392,168,1.35
08037,Eagle County,Colorado,54357,5958,12.2,10754,326,2.63
08045,Garfield County,Colorado,58538,7048,13.8,4063,153,1.24
08051,Gunnison County,Colorado,16537,1446,10.5,2364,265,2.14
08067,La Plata County,Colorado,55101,5159,11.6,4544,171,1.38
08097,Pitkin County,Colorado,17909,1790,12.3,5777,364,2.93
12005,Bay County,Florida,182482,22229,14.8,13556,181,1.46
12009,Brevard County,Florida,576808,58273,13,29774,134,1.08
12011,Broward County,Florida,1909151,271480,16.9,113452,138,1.12
12015,Charlotte County,Florida,176954,18489,17.1,7840,164,1.32
12017,Citrus County,Florida,143087,14181,15.4,4574,142,1.14
12021,Collier County,Florida,363922,57598,22.8,27700,190,1.53
12031,Duval County,Florida,924229,104607,13.2,68814,131,1.06
12033,Escambia County,Florida,311522,27908,11.4,19592,142,1.14
12035,Flagler County,Florida,107139,11300,14.7,4326,180,1.45
12061,Indian River County,Florida,150984,17515,16.9,7734,148,1.19
12069,Lake County,Florida,335362,39015,15.5,14642,145,1.17
12071,Lee County,Florida,718679,97648,18.6,41567,157,1.27
12073,Leon County,Florida,288102,25965,10.8,19921,130,1.05
12081,Manatee County,Florida,373853,44856,16.1,20405,159,1.28
12085,Martin County,Florida,157581,18440,17,10570,155,1.25
12086,Miami-Dade County,Florida,2715516,453444,20,197349,171,1.37
12087,Monroe County,Florida,76325,12038,20.3,14954,370,2.99
12091,Okaloosa County,Florida,200737,22508,13.5,15614,182,1.47
12095,Orange County,Florida,1321194,181847,15.7,235233,271,2.18
12097,Osceola County,Florida,338619,48632,16.2,21175,212,1.71
12099,Palm Beach County,Florida,1446277,193232,17.4,89088,147,1.18
12101,Pasco County,Florida,510593,60327,14.9,16495,134,1.08
12103,Pinellas County,Florida,957875,104241,14.3,61164,140,1.12
12109,St. Johns County,Florida,235503,20802,10.6,15933,202,1.63
12115,Sarasota County,Florida,412144,43266,16.3,24156,142,1.15
12127,Volusia County,Florida,527634,58072,14.6,28717,165,1.33
13015,Bartow County,Georgia,103620,16117,17.9,5190,127,1.02
13051,Chatham County,Georgia,287049,37954,16.2,30621,195,1.57
13057,Cherokee County,Georgia,241910,27538,12.8,9925,151,1.22
13063,Clayton County,Georgia,278666,47264,18.8,16769,136,1.09
13073,Columbia County,Georgia,147295,14958,11.3,5256,145,1.17
13113,Fayette County,Georgia,111369,9771,10.5,7157,158,1.27
13121,Fulton County,Georgia,1021902,116555,13,113268,126,1.01
13151,Henry County,Georgia,221307,25528,12.8,10188,154,1.24
13215,Muscogee County,Georgia,196670,21826,13.5,12379,132,1.07
13223,Paulding County,Georgia,155840,18417,12.8,4024,157,1.27
13245,Richmond County,Georgia,201463,23116,14.2,13055,125,1.01
13311,White County,Georgia,28928,3831,17.2,1897,203,1.64
16013,Blaine County,Idaho,21994,3182,17.7,3285,254,2.05
16017,Bonner County,Idaho,42711,4377,13.3,2234,152,1.22
16037,Custer County,Idaho,4141,405,13.8,518,299,2.41
16055,Kootenai County,Idaho,153605,12970,10.1,10658,163,1.32
16059,Lemhi County,Idaho,7798,675,12.4,433,159,1.29
16079,Shoshone County,Idaho,12526,1294,13.6,689,152,1.23
16081,Teton County,Idaho,11080,1662,16.5,820,211,1.7
16085,Valley County,Idaho,10401,954,11.8,1472,286,2.31
22051,Jefferson Parish,Louisiana,435300,41978,11.6,30182,161,1.29
22055,Lafayette Parish,Louisiana,240091,21024,10.1,16401,126,1.01
22057,Lafourche Parish,Louisiana,98214,9787,11.9,8997,259,2.09
22075,Plaquemines Parish,Louisiana,23373,2352,11.7,2586,216,1.74
22101,St. Mary Parish,Louisiana,51734,4469,10.6,2857,134,1.08
22105,Tangipahoa Parish,Louisiana,130504,11175,10.1,6006,136,1.1
22109,Terrebonne Parish,Louisiana,112587,11433,12,6785,136,1.09
23009,Hancock County,Maine,54541,4840,11.8,5776,232,1.87
23013,Knox County,Maine,39823,3382,11.7,2790,156,1.25
23017,Oxford County,Maine,57325,5034,11.3,2764,165,1.33
26097,Mackinac County,Michigan,10817,884,11.5,2441,426,3.44
28027,Coahoma County,Mississippi,23802,2569,13.6,1059,138,1.11
28033,DeSoto County,Mississippi,176132,16356,10.4,9898,156,1.26
28045,Hancock County,Mississippi,46653,5902,15.6,2755,203,1.64
28047,Harrison County,Mississippi,202626,26888,15.8,24846,286,2.31
28073,Lamar County,Mississippi,61223,6936,13.1,3484,180,1.45
28087,Lowndes County,Mississippi,59437,6969,14.3,4108,160,1.29
28089,Madison County,Mississippi,103498,9621,10.6,7141,129,1.04
28121,Rankin County,Mississippi,151240,13474,10.7,8385,132,1.07
28151,Washington County,Mississippi,47086,6174,16.2,2176,133,1.07
29019,Boone County,Missouri,176515,14994,10.1,13191,139,1.12
29029,Camden County,Missouri,45096,4657,14.3,4390,260,2.1
29095,Jackson County,Missouri,692003,73991,12.6,46889,125,1.01
29213,Taney County,Missouri,54720,6787,16.2,12057,402,3.24
30009,Carbon County,Montana,10546,939,11.7,692,251,2.02
30013,Cascade County,Montana,81746,6557,10.1,5347,150,1.21
30029,Flathead County,Montana,98082,8259,10.3,8425,187,1.51
30053,Lincoln County,Montana,19358,1771,12.9,808,140,1.13
30077,Powell County,Montana,6861,425,10.8,349,139,1.12
32003,Clark County,Nevada,2141574,246807,13.3,318335,310,2.5
32005,Douglas County,Nevada,47828,4323,12.3,6668,334,2.69
32007,Elko County,Nevada,52252,6100,13.1,5960,267,2.15
32031,Washoe County,Nevada,450486,47683,12.4,41549,183,1.47
34001,Atlantic County,New Jersey,268539,22842,10.5,42726,327,2.63
34013,Essex County,New Jersey,793555,78740,11.5,53437,154,1.24
35005,Chaves County,New Mexico,65459,6252,11.8,3195,151,1.22
36081,Queens County,New York,2298513,202448,10.2,121488,169,1.36
37001,Alamance County,North Carolina,160576,18526,14.1,8415,134,1.08
37021,Buncombe County,North Carolina,254474,27360,13.5,23256,172,1.39
37025,Cabarrus County,North Carolina,201448,18736,10.4,14023,183,1.48
37051,Cumberland County,North Carolina,332106,29738,10.8,17042,142,1.15
37055,Dare County,North Carolina,35741,3715,13,5974,287,2.32
37085,Harnett County,North Carolina,130361,14726,13,3271,126,1.01
37097,Iredell County,North Carolina,172525,17072,11.5,9644,128,1.03
37101,Johnston County,North Carolina,191172,23774,14,6412,126,1.02
37109,Lincoln County,North Carolina,81441,8569,12.7,3135,128,1.03
37119,Mecklenburg County,North Carolina,1054314,120608,12.7,100196,140,1.13
37125,Moore County,North Carolina,95629,8782,11.9,7275,197,1.58
37129,New Hanover County,North Carolina,224231,22417,12.3,19736,167,1.35
37147,Pitt County,North Carolina,177372,16127,10.8,9790,126,1.02
37169,Stokes County,North Carolina,45905,4799,13.3,1111,145,1.17
40017,Canadian County,Oklahoma,136710,15360,12.8,4735,127,1.02
40027,Cleveland County,Oklahoma,276733,29897,12.7,13945,162,1.3
40031,Comanche County,Oklahoma,122561,14482,15,5427,130,1.05
40041,Delaware County,Oklahoma,42112,7602,23.9,1282,140,1.13
40065,Jackson County,Oklahoma,25384,3451,16.6,1347,141,1.14
40119,Payne County,Oklahoma,81512,10508,16.4,5542,167,1.35
40125,Pottawatomie County,Oklahoma,72000,9678,16.7,3003,133,1.07
45013,Beaufort County,South Carolina,182658,20295,15.3,16766,244,1.96
45019,Charleston County,South Carolina,394708,44469,13.5,45246,175,1.41
45041,Florence County,South Carolina,138561,12940,11.5,8485,128,1.03
45051,Horry County,South Carolina,320915,43983,17.4,39423,292,2.35
45075,Orangeburg County,South Carolina,88454,9353,13.9,3717,130,1.05
45077,Pickens County,South Carolina,122746,12641,13.1,7084,188,1.52
45091,York County,South Carolina,258641,25038,11.1,13817,137,1.11
46103,Pennington County,South Dakota,109294,10425,11.7,9952,170,1.37
47009,Blount County,Tennessee,128443,10561,10.2,6963,134,1.08
47037,Davidson County,Tennessee,684017,82893,14.2,76513,147,1.19
47065,Hamilton County,Tennessee,357546,32272,11,26752,128,1.03
47105,Loudon County,Tennessee,51610,4920,12.8,2170,132,1.06
47155,Sevier County,Tennessee,96287,12956,16.7,23194,460,3.71
48007,Aransas County,Texas,24763,4078,22.3,1447,260,2.1
48027,Bell County,Texas,342236,40118,13.3,15459,128,1.03
48029,Bexar County,Texas,1925865,285140,16.9,122787,140,1.13
48037,Bowie County,Texas,93858,11910,16.4,5960,143,1.15
48039,Brazoria County,Texas,353999,44276,14.2,14785,127,1.02
48041,Brazos County,Texas,219193,32046,16.9,17054,156,1.26
48061,Cameron County,Texas,421750,104621,29,18119,128,1.03
48091,Comal County,Texas,135097,16543,14.4,10359,172,1.39
48121,Denton County,Texas,807047,96650,12.9,37276,143,1.15
48141,El Paso County,Texas,837654,163112,22.6,41114,131,1.06
48143,Erath County,Texas,41482,7613,23.4,2218,131,1.06
48157,Fort Bend County,Texas,739342,92077,13.5,28078,143,1.16
48167,Galveston County,Texas,327089,43845,15.4,21787,198,1.6
48171,Gillespie County,Texas,26208,4483,23.8,2142,197,1.59
48199,Hardin County,Texas,56379,6687,13.9,1788,140,1.13
48201,Harris County,Texas,4602523,908742,22.1,294612,125,1.01
48209,Hays County,Texas,204150,30839,16.7,10944,149,1.2
48213,Henderson County,Texas,80460,13186,21.2,2236,127,1.03
48265,Kerr County,Texas,51365,8108,22.5,2792,151,1.21
48303,Lubbock County,Texas,301454,41152,16,21591,152,1.23
48339,Montgomery County,Texas,554445,85425,17.2,27137,141,1.14
48347,Nacogdoches County,Texas,65558,11728,22.9,3035,136,1.1
48355,Nueces County,Texas,360486,57906,19,23915,146,1.18
48363,Palo Pinto County,Texas,28317,5017,22,1260,145,1.17
48367,Parker County,Texas,129802,17264,15.3,4481,128,1.03
48381,Randall County,Texas,132475,14914,13.2,4958,152,1.23
48397,Rockwall County,Texas,93642,11401,13.4,5440,166,1.34
48409,San Patricio County,Texas,67046,10748,18.9,2463,132,1.06
48439,Tarrant County,Texas,2019977,331573,18.4,124926,135,1.09
48451,Tom Green County,Texas,117466,17141,17.9,6282,131,1.06
48453,Travis County,Texas,1203166,158704,14.6,102717,132,1.06
48463,Uvalde County,Texas,27009,4959,22.5,1301,132,1.06
48467,Van Zandt County,Texas,54368,9311,21.3,1625,144,1.16
48479,Webb County,Texas,272053,69387,28.6,18853,183,1.48
48491,Williamson County,Texas,527057,54780,11.4,23852,131,1.06
49019,Grand County,Utah,9616,1033,13.2,2801,427,3.44
49021,Iron County,Utah,49691,5939,13.7,2851,142,1.14
49051,Wasatch County,Utah,30523,3406,11.9,1822,173,1.39
49053,Washington County,Utah,160537,17854,13.9,10832,153,1.23
51153,Prince William County,Virginia,456749,48612,11.7,17684,133,1.07
51187,Warren County,Virginia,39449,3702,11.3,1721,134,1.08
51540,Charlottesville city,Virginia,47042,4771,11.7,6429,155,1.25
51680,Lynchburg city,Virginia,80131,5965,10.2,6587,126,1.02
51710,Norfolk city,Virginia,245592,21440,11.7,18606,133,1.07
55125,Vilas County,Wisconsin,21593,1507,10.2,1861,221,1.78
56001,Albany County,Wyoming,38102,4024,12.5,2223,137,1.1
56025,Natrona County,Wyoming,80610,9473,14.2,4982,127,1.02
56029,Park County,Wyoming,29121,3131,14,3226,220,1.77
56033,Sheridan County,Wyoming,30012,3152,13.4,1754,129,1.04
56039,Teton County,Wyoming,23059,3196,16,9596,415,3.35
35031,McKinley County,New Mexico,72849,10972,17.4,3093,147,1.18
06045,Mendocino County,California,87422,7306,10.7,4667,141,1.14
12053,Hernando County,Florida,182696,21079,15.8,6225,138,1.11
12055,Highlands County,Florida,102101,12158,18.5,3416,127,1.02
12089,Nassau County,Florida,80578,8088,12.5,5472,230,1.86
12131,Walton County,Florida,65858,9336,17.6,7220,264,2.12
13039,Camden County,Georgia,52714,5963,13.5,1921,135,1.09
13127,Glynn County,Georgia,83974,11739,17.4,9064,234,1.88
22087,St. Bernard Parish,Louisiana,45694,4155,10.2,1695,166,1.34
23015,Lincoln County,Maine,34067,3359,13.6,2567,214,1.73
28001,Adams County,Mississippi,31547,3419,15,1998,187,1.51
28149,Warren County,Mississippi,47075,5484,14.1,4189,214,1.72
29141,Morgan County,Missouri,20137,2902,19.3,635,144,1.16
29209,Stone County,Missouri,31527,3200,14.6,2364,341,2.75
37019,Brunswick County,North Carolina,126860,12208,13.5,6649,200,1.61
37031,Carteret County,North Carolina,68920,6548,12.7,5133,217,1.75
37099,Jackson County,North Carolina,42256,5639,18.2,3210,221,1.78
41041,Lincoln County,Oregon,47881,3703,10.7,5222,277,2.23
45043,Georgetown County,South Carolina,61605,5882,13.2,4675,191,1.54
47019,Carter County,Tennessee,56391,5222,12,1451,125,1.01
47115,Marion County,Tennessee,28417,2564,11.3,1277,168,1.36
51119,Middlesex County,Virginia,10700,808,11.4,542,162,1.31
04007,Gila County,Arizona,53400,5082,13.5,1996,133,1.07
05015,Carroll County,Arkansas,27887,2719,12.8,1839,164,1.32
08015,Chaffee County,Colorado,19164,1364,10.2,2104,258,2.08
08049,Grand County,Colorado,15066,1347,10.6,2794,377,3.04
08083,Montezuma County,Colorado,25909,2794,13.8,1197,127,1.02
08113,San Miguel County,Colorado,7968,810,11.8,2267,389,3.14
08117,Summit County,Colorado,30429,2932,11.1,7457,370,2.98
12019,Clay County,Florida,207291,20407,11.4,8358,155,1.25
12113,Santa Rosa County,Florida,170442,17768,12.5,6908,172,1.39
12119,Sumter County,Florida,120999,5512,11.9,4347,138,1.11
13009,Baldwin County,Georgia,45286,5202,15.9,2224,141,1.13
13023,Bleckley County,Georgia,12775,1297,13.8,331,127,1.03
13031,Bulloch County,Georgia,74782,10426,16.8,3696,143,1.15
13045,Carroll County,Georgia,116022,15661,16,5298,127,1.02
13059,Clarke County,Georgia,124602,16782,16.3,10271,144,1.16
13077,Coweta County,Georgia,140516,15494,12.5,5768,141,1.14
13085,Dawson County,Georgia,23861,3354,17.2,1625,174,1.4
13097,Douglas County,Georgia,141840,17901,14.2,5797,128,1.03
13111,Fannin County,Georgia,24925,3268,18.3,1331,196,1.58
13133,Greene County,Georgia,16976,2441,20.1,1085,169,1.37
13153,Houston County,Georgia,151682,18049,13.6,8244,131,1.06
13185,Lowndes County,Georgia,114582,16382,17.3,7567,153,1.23
13211,Morgan County,Georgia,18235,2340,15.9,1241,161,1.29
16015,Boise County,Idaho,7163,735,13.3,474,276,2.22
18013,Brown County,Indiana,15034,1198,10.5,670,223,1.8
20037,Crawford County,Kansas,39108,3745,11.9,2547,150,1.21
23007,Franklin County,Maine,30019,2400,10.8,1616,156,1.26
28071,Lafayette County,Mississippi,53459,5810,13.8,5032,198,1.6
28075,Lauderdale County,Mississippi,77323,7562,12.6,4082,125,1.01
28105,Oktibbeha County,Mississippi,49481,6191,15.6,3806,183,1.48
28131,Stone County,Mississippi,18375,1860,13.3,564,125,1.01
29001,Adair County,Missouri,25325,2008,10.6,1387,140,1.13
29043,Christian County,Missouri,84275,7240,10.1,2625,146,1.17
29053,Cooper County,Missouri,17622,1396,10.6,829,163,1.31
29161,Phelps County,Missouri,44789,4842,13.9,2327,126,1.02
29169,Pulaski County,Missouri,52591,4282,11.4,2596,199,1.61
30007,Broadwater County,Montana,5834,509,11.3,198,141,1.13
30023,Deer Lodge County,Montana,9100,650,10.1,433,137,1.11
30067,Park County,Montana,16246,1290,10.1,1946,298,2.4
30071,Phillips County,Montana,4124,452,14.2,170,133,1.07
30083,Richland County,Montana,11360,1016,10.7,694,129,1.04
30089,Sanders County,Montana,11521,1242,15.6,513,169,1.36
32001,Churchill County,Nevada,24010,2660,13.6,1697,202,1.63
32013,Humboldt County,Nevada,16904,2219,15.3,1067,137,1.11
32023,Nye County,Nevada,43705,3817,12.8,2193,172,1.39
32033,White Pine County,Nevada,9737,725,11,558,127,1.03
35027,Lincoln County,New Mexico,19482,1764,12.8,2016,298,2.4
35049,Santa Fe County,New Mexico,148917,14894,13.3,12026,191,1.54
35055,Taos County,New Mexico,32888,3071,12.6,2908,272,2.19
37011,Avery County,North Carolina,17501,2279,20,1712,247,1.99
37087,Haywood County,North Carolina,60433,5522,12,2675,151,1.22
37095,Hyde County,North Carolina,5393,565,15.7,289,156,1.25
37139,Pasquotank County,North Carolina,39479,3786,12.2,2370,158,1.27
37141,Pender County,North Carolina,59020,6753,13.7,1974,153,1.23
37175,Transylvania County,North Carolina,33513,3525,15.3,1573,168,1.35
37189,Watauga County,North Carolina,54117,5812,14.2,5503,223,1.8
40083,Logan County,Oklahoma,46044,5173,13.5,1119,145,1.17
41027,Hood River County,Oregon,23131,2197,11.2,2229,144,1.16
41057,Tillamook County,Oregon,26076,2036,10.5,1742,172,1.39
41065,Wasco County,Oregon,25866,2286,11,1389,125,1.01
45035,Dorchester County,South Carolina,155474,15180,11.3,5007,138,1.11
46027,Clay County,South Dakota,13925,1081,10.5,1021,167,1.35
46033,Custer County,South Dakota,8573,715,11.8,927,336,2.7
47013,Campbell County,Tennessee,39687,3847,12.4,1315,142,1.14
47139,Polk County,Tennessee,16782,1635,12.5,717,282,2.27
48021,Bastrop County,Texas,82577,15267,21.8,3157,169,1.36
48043,Brewster County,Texas,9216,1435,19.8,939,229,1.85
48273,Kleberg County,Texas,31425,5023,19.7,1627,139,1.12
49017,Garfield County,Utah,5017,607,16.3,1363,486,3.92
51103,Lancaster County,Virginia,10804,829,12.1,641,136,1.1
51139,Page County,Virginia,23749,2445,13.1,1133,202,1.63
51147,Prince Edward County,Virginia,22956,1843,12.1,1214,133,1.07
51630,Fredericksburg city,Virginia,28469,2537,11.2,4522,184,1.48
51660,Harrisonburg city,Virginia,53391,6610,15.8,5398,170,1.37
51790,Staunton city,Virginia,24452,1886,10.1,1600,143,1.15
51820,Waynesboro city,Virginia,21926,2148,11.9,1517,164,1.32
51830,Williamsburg city,Virginia,14788,971,11.6,4738,371,2.99
55113,Sawyer County,Wisconsin,16370,1276,10.7,1216,168,1.36
56007,Carbon County,Wyoming,15477,1963,16.3,1470,197,1.59
56031,Platte County,Wyoming,8673,944,14.9,482,139,1.12
02100,Haines Borough,Alaska,2518,357,18,407,313,2.52
08065,Lake County,Colorado,7585,770,11.7,419,175,1.41
37005,Alleghany County,North Carolina,10973,1451,18.3,480,145,1.17
37053,Currituck County,North Carolina,25796,2837,12.8,1280,163,1.32
37173,Swain County,North Carolina,14254,2102,18.3,1482,142,1.14
45029,Colleton County,South Carolina,37568,4053,13.6,1444,134,1.08
48053,Burnet County,Texas,45750,7566,21.3,1993,134,1.08
48315,Marion County,Texas,10083,1408,19,346,176,1.42
51163,Rockbridge County,Virginia,22509,1963,11.9,873,138,1.11
05137,Stone County,Arkansas,12446,1068,11.9,451,172,1.38
08007,Archuleta County,Colorado,12908,1267,12.9,919,210,1.69
08053,Hinsdale County,Colorado,878,60,10.5,73,235,1.9
12037,Franklin County,Florida,11736,1308,17.7,731,222,1.79
13011,Banks County,Georgia,18510,2979,19.3,1110,237,1.91
13029,Bryan County,Georgia,35885,4071,12.2,1387,154,1.24
13047,Catoosa County,Georgia,66299,7012,12.7,2615,169,1.36
13123,Gilmer County,Georgia,29922,5181,22.5,1118,161,1.3
13187,Lumpkin County,Georgia,31951,4875,19.9,1361,177,1.42
13227,Pickens County,Georgia,30832,4338,17.5,1262,158,1.28
13281,Towns County,Georgia,11417,1141,17.3,806,236,1.9
16043,Fremont County,Idaho,12965,1453,14,487,141,1.14
20049,Elk County,Kansas,2562,246,14.1,101,167,1.34
29015,Benton County,Missouri,18989,1944,14.9,493,140,1.13
30061,Mineral County,Montana,4211,320,10.6,193,155,1.25
30101,Toole County,Montana,4976,458,13.4,295,158,1.27
30105,Valley County,Montana,7532,702,12.4,410,137,1.1
32019,Lyon County,Nevada,53155,5591,13.2,1652,129,1.04
37039,Cherokee County,North Carolina,27668,2758,14,1124,140,1.13
37083,Halifax County,North Carolina,51737,5310,13.5,2033,132,1.06
37113,Macon County,North Carolina,34410,3855,15.6,2195,191,1.54
37115,Madison County,North Carolina,21405,2025,12.6,550,136,1.09
40005,Atoka County,Oklahoma,13874,2152,20.7,503,153,1.23
40091,McIntosh County,Oklahoma,19819,3029,20.7,616,144,1.16
46015,Brule County,South Dakota,5256,770,18.1,326,173,1.39
46119,Sully County,South Dakota,1331,136,12.5,153,197,1.59
47029,Cocke County,Tennessee,35336,3395,12.3,1337,168,1.36
47085,Humphreys County,Tennessee,18318,1646,11.2,812,135,1.09
48019,Bandera County,Texas,21763,3023,18.7,566,169,1.36
48105,Crockett County,Texas,3633,652,22.2,223,153,1.23
48109,Culberson County,Texas,2241,457,26.1,192,157,1.27
48149,Fayette County,Texas,25066,3908,20.6,1131,126,1.01
48221,Hood County,Texas,56901,7653,17.5,2360,140,1.13
48223,Hopkins County,Texas,36240,6529,22,1675,129,1.04
48377,Presidio County,Texas,7123,1590,29,418,194,1.56
49033,Rich County,Utah,2350,229,11.8,294,286,2.31
49055,Wayne County,Utah,2694,324,15.2,375,322,2.59
51035,Carroll County,Virginia,29738,2828,12.6,811,131,1.06
51157,Rappahannock County,Virginia,7332,756,14.1,291,207,1.67
51570,Colonial Heights city,Virginia,17593,1458,10.3,2343,228,1.84
51720,Norton city,Virginia,3990,362,11.4,473,138,1.11
56017,Hot Springs County,Wyoming,4680,469,13.6,264,143,1.15
56019,Johnson County,Wyoming,8515,969,15,614,184,1.48
01063,Greene County,Alabama,8426,736,11.4,318,179,1.44
08071,Las Animas County,Colorado,14179,1220,12.2,634,125,1.01
13241,Rabun County,Georgia,16457,2534,21.3,1090,198,1.59
16007,Bear Lake County,Idaho,5962,488,10.2,229,131,1.06
29085,Hickory County,Missouri,9368,1019,16.4,209,154,1.24
29153,Ozark County,Missouri,9236,1082,16.7,273,182,1.47
30001,Beaverhead County,Montana,9393,817,11.7,583,148,1.19
30035,Glacier County,Montana,13699,2301,19.9,562,127,1.02
30059,Meagher County,Montana,1968,149,11.6,154,247,1.99
30109,Wibaux County,Montana,1175,89,11.5,52,203,1.64
37149,Polk County,North Carolina,20458,2028,14.3,829,164,1.32
46047,Fall River County,South Dakota,6774,508,11,332,136,1.09
46085,Lyman County,South Dakota,3869,595,18.7,304,217,1.75
47027,Clay County,Tennessee,7686,839,14.6,183,131,1.06
47137,Pickett County,Tennessee,5088,439,12,198,181,1.46
48075,Childress County,Texas,7226,929,20.4,354,140,1.13
48299,Llano County,Texas,20640,2813,20.7,1504,307,2.47
51125,Nelson County,Virginia,14812,1454,13.3,667,167,1.34
