area_fips,county,state,population,pct_non_white,pct_uninsured_total,pct_uninsured_138_400_poverty,pct_uninsured_age_50_up,september_employment_selected_industries,september_jobs_per_thousand_selected_industries,september_jobs_pct_total_selected_industries,september_jobs_pct_total_selected_industries_plus_pct_uninsured_total,september_employment_all_industries,september_employment_lq_selected_industries
08047,Gilpin County,Colorado,5924,13.5,4.3,6.1,3.9,3773,819,81.9,86.2,4605,6.6
02068,Denali Borough,Alaska,2232,18.9,14,19.9,11.7,2279,720,72,86,3164,5.8
49017,Garfield County,Utah,5017,10.9,16.3,16.7,12.4,1363,486,48.6,64.9,2805,3.92
47155,Sevier County,Tennessee,96287,9.6,16.7,16.8,15.5,23194,460,46,62.7,50390,3.71
02164,Lake and Peninsula Borough,Alaska,1375,77.8,25.3,28.2,26,372,352,35.2,60.5,1058,2.83
02230,Skagway Municipality,Alaska,1061,16.4,14.1,18.8,13.7,641,449,44.9,59,1428,3.62
56039,Teton County,Wyoming,23059,18.4,16,24.4,10.5,9596,415,41.5,57.5,23107,3.35
08079,Mineral County,Colorado,823,13.2,9.9,11.6,8.7,250,476,47.6,57.5,525,3.84
12087,Monroe County,Florida,76325,33.1,20.3,24,16.4,14954,370,37,57.3,40374,2.99
29213,Taney County,Missouri,54720,11,16.2,15.3,16.3,12057,402,40.2,56.400000000000006,29993,3.24
06051,Mono County,California,14174,34.9,10,11.6,7.3,3360,461,46.1,56.1,7296,3.71
49019,Grand County,Utah,9616,17.5,13.2,14.4,11.9,2801,427,42.7,55.900000000000006,6562,3.44
08111,San Juan County,Colorado,544,10.1,8.6,9.8,9.7,204,465,46.5,55.1,439,3.75
26097,Mackinac County,Michigan,10817,26.6,11.5,12.3,9.8,2441,426,42.6,54.1,5726,3.44
48299,Llano County,Texas,20640,13.4,20.7,23.3,17.3,1504,307,30.7,51.4,4903,2.47
08113,San Miguel County,Colorado,7968,13.6,11.8,15.7,8.5,2267,389,38.9,50.7,5827,3.14
02100,Haines Borough,Alaska,2518,22.2,18,21.2,17.5,407,313,31.3,49.3,1300,2.52
08097,Pitkin County,Colorado,17909,14.5,12.3,19.4,7.5,5777,364,36.4,48.7,15877,2.93
29209,Stone County,Missouri,31527,5,14.6,14.5,11.9,2364,341,34.1,48.7,6930,2.75
51830,Williamsburg city,Virginia,14788,32,11.6,12.1,9.8,4738,371,37.1,48.7,12778,2.99
24047,Worcester County,Maryland,51564,19.9,7.8,9.8,6.9,11177,408,40.8,48.599999999999994,27390,3.29
48377,Presidio County,Texas,7123,86.1,29,28.4,25.8,418,194,19.4,48.4,2153,1.56
08049,Grand County,Colorado,15066,12.4,10.6,13.6,7.4,2794,377,37.7,48.300000000000004,7405,3.04
48007,Aransas County,Texas,24763,32.6,22.3,24.2,17.3,1447,260,26,48.3,5564,2.1
08117,Summit County,Colorado,30429,17.7,11.1,14.6,8.3,7457,370,37,48.1,20153,2.98
49055,Wayne County,Utah,2694,8.8,15.2,14.3,12.5,375,322,32.2,47.400000000000006,1166,2.59
49025,Kane County,Utah,7350,8.5,9.6,10.1,8.9,1441,374,37.4,47,3849,3.02
48479,Webb County,Texas,272053,96.5,28.6,28.7,30.2,18853,183,18.3,46.900000000000006,102968,1.48
45051,Horry County,South Carolina,320915,22.8,17.4,18.2,14.5,39423,292,29.2,46.599999999999994,135157,2.35
32005,Douglas County,Nevada,47828,19,12.3,15,8.9,6668,334,33.4,45.7,19956,2.69
46033,Custer County,South Dakota,8573,9.5,11.8,13.5,10.4,927,336,33.6,45.400000000000006,2762,2.7
08037,Eagle County,Colorado,54357,32.8,12.2,17.1,7.5,10754,326,32.6,44.8,33012,2.63
37011,Avery County,North Carolina,17501,12.6,20,19.7,15,1712,247,24.7,44.7,6921,1.99
27031,Cook County,Minnesota,5311,14.2,8.4,9.6,8.2,1154,362,36.2,44.6,3191,2.91
28047,Harrison County,Mississippi,202626,35.8,15.8,16.4,13.5,24846,286,28.6,44.400000000000006,86867,2.31
32003,Clark County,Nevada,2141574,56.5,13.3,15.2,10.9,318335,310,31,44.3,1025875,2.5
12131,Walton County,Florida,65858,15.6,17.6,20.8,13.8,7220,264,26.4,44,27386,2.12
16037,Custer County,Idaho,4141,9.5,13.8,13.8,12.8,518,299,29.9,43.7,1735,2.41
49043,Summit County,Utah,40511,15.5,9.6,15.8,6.2,9031,340,34,43.6,26562,2.74
48171,Gillespie County,Texas,26208,25,23.8,27.6,19,2142,197,19.7,43.5,10879,1.59
02130,Ketchikan Gateway Borough,Alaska,13804,36,17.2,21.9,13.8,2178,260,26,43.2,8378,2.1
34001,Atlantic County,New Jersey,268539,43.5,10.5,13,7.9,42726,327,32.7,43.2,130840,2.63
16013,Blaine County,Idaho,21994,24.5,17.7,21.8,13.4,3285,254,25.4,43.099999999999994,12942,2.05
13011,Banks County,Georgia,18510,12,19.3,19.2,15.4,1110,237,23.7,43,4683,1.91
12095,Orange County,Florida,1321194,59.2,15.7,17.5,12.8,235233,271,27.1,42.8,868533,2.18
08091,Ouray County,Colorado,4722,6.8,8.7,10.3,8.4,705,341,34.1,42.8,2070,2.74
34009,Cape May County,New Jersey,93705,14.5,8.1,10.6,6.8,16213,346,34.6,42.7,46861,2.79
48043,Brewster County,Texas,9216,48.8,19.8,21.1,19.1,939,229,22.9,42.7,4096,1.85
35027,Lincoln County,New Mexico,19482,37.5,12.8,12.6,11.7,2016,298,29.8,42.6,6769,2.4
48215,Hidalgo County,Texas,849389,93.6,31.2,31.4,30.4,28595,108,10.8,42,264971,0.87
12021,Collier County,Florida,363922,36.7,22.8,28,16.5,27700,190,19,41.8,145782,1.53
48061,Cameron County,Texas,421750,90.9,29,28.9,27.8,18119,128,12.8,41.8,141467,1.03
48109,Culberson County,Texas,2241,76.2,26.1,26.9,23.9,192,157,15.7,41.8,1221,1.27
37055,Dare County,North Carolina,35741,12.4,13,14.3,9.7,5974,287,28.7,41.7,20789,2.32
15009,Maui County,Hawaii,165281,69.6,5.4,6.5,4.4,28861,361,36.1,41.5,80020,2.91
18117,Orange County,Indiana,19547,4.6,10,10.5,7.1,2393,315,31.5,41.5,7595,2.54
13241,Rabun County,Georgia,16457,13,21.3,20.5,18,1090,198,19.8,41.1,5518,1.59
16015,Boise County,Idaho,7163,8.6,13.3,14.7,14.4,474,276,27.6,40.900000000000006,1717,2.22
13281,Towns County,Georgia,11417,5.4,17.3,17.6,14.8,806,236,23.6,40.900000000000006,3420,1.9
13127,Glynn County,Georgia,83974,36.3,17.4,19,13.6,9064,234,23.4,40.8,38794,1.88
47139,Polk County,Tennessee,16782,4.9,12.5,12,11.2,717,282,28.2,40.7,2545,2.27
46081,Lawrence County,South Dakota,25234,8.9,9.9,11.1,8.4,3795,307,30.7,40.6,12377,2.47
16085,Valley County,Idaho,10401,2.9,11.8,13,11.8,1472,286,28.6,40.400000000000006,5145,2.31
49033,Rich County,Utah,2350,13.5,11.8,11.5,9.6,294,286,28.6,40.400000000000006,1027,2.31
46085,Lyman County,South Dakota,3869,43.9,18.7,19.1,16.6,304,217,21.7,40.4,1401,1.75
29029,Camden County,Missouri,45096,5.6,14.3,14.5,12.4,4390,260,26,40.3,16887,2.1
37099,Jackson County,North Carolina,42256,19.1,18.2,17.8,15.5,3210,221,22.1,40.3,14550,1.78
48319,Mason County,Texas,4161,27.2,28.1,28,22.8,123,118,11.8,39.900000000000006,1046,0.95
30067,Park County,Montana,16246,6.5,10.1,11.2,10,1946,298,29.8,39.9,6537,2.4
12037,Franklin County,Florida,11736,23.1,17.7,18.3,15,731,222,22.2,39.9,3292,1.79
32007,Elko County,Nevada,52252,33.1,13.1,17.3,9.2,5960,267,26.7,39.8,22354,2.15
35055,Taos County,New Mexico,32888,64.8,12.6,12.5,11.1,2908,272,27.2,39.8,10687,2.19
45013,Beaufort County,South Carolina,182658,32.4,15.3,17.9,10.7,16766,244,24.4,39.7,68809,1.96
48087,Collingsworth County,Texas,2996,37.3,32.7,34.5,26,56,68,6.8,39.5,821,0.55
04005,Coconino County,Arizona,140217,45.9,13.1,14.8,11.4,17006,263,26.3,39.4,64542,2.12
08119,Teller County,Colorado,24113,10.9,8.2,10.3,7.4,2361,312,31.2,39.4,7579,2.51
06043,Mariposa County,California,17540,19.5,8,8.9,7,1860,310,31,39,6005,2.5
25019,Nantucket County,Massachusetts,11101,14.9,4.4,6.3,3.1,3168,345,34.5,38.9,9177,2.78
48021,Bastrop County,Texas,82577,47,21.8,24.1,18.2,3157,169,16.9,38.7,18681,1.36
13123,Gilmer County,Georgia,29922,13.9,22.5,22.3,18,1118,161,16.1,38.6,6933,1.3
41041,Lincoln County,Oregon,47881,17.4,10.7,11.9,9,5222,277,27.7,38.4,18862,2.23
53055,San Juan County,Washington,16473,11.3,9.1,11.3,7.7,1927,291,29.1,38.2,6611,2.35
13111,Fannin County,Georgia,24925,4.9,18.3,18.2,18.2,1331,196,19.6,37.900000000000006,6807,1.58
40041,Delaware County,Oklahoma,42112,36,23.9,23.9,21.4,1282,140,14,37.9,9137,1.13
48323,Maverick County,Texas,57970,97.5,27,26.4,23,1949,109,10.9,37.9,17926,0.88
22057,Lafourche Parish,Louisiana,98214,23.2,11.9,14,11.2,8997,259,25.9,37.8,34775,2.09
16081,Teton County,Idaho,11080,19,16.5,17.3,14.8,820,211,21.1,37.6,3880,1.7
48265,Kerr County,Texas,51365,30.9,22.5,24.8,19.9,2792,151,15.1,37.6,18550,1.21
02060,Bristol Bay Borough,Alaska,890,46.1,17.4,24.1,14.6,283,202,20.2,37.599999999999994,1399,1.63
13187,Lumpkin County,Georgia,31951,9.4,19.9,20,16.6,1361,177,17.7,37.599999999999994,7701,1.42
13311,White County,Georgia,28928,7.6,17.2,17.5,14.7,1897,203,20.3,37.5,9325,1.64
48105,Crockett County,Texas,3633,64.4,22.2,25.1,17.8,223,153,15.3,37.5,1458,1.23
12097,Osceola County,Florida,338619,67.1,16.2,15.9,16.7,21175,212,21.2,37.4,99833,1.71
12086,Miami-Dade County,Florida,2715516,86.6,20,21.4,21,197349,171,17.1,37.1,1157209,1.37
08051,Gunnison County,Colorado,16537,12.8,10.5,12.6,8.1,2364,265,26.5,37,8907,2.14
13133,Greene County,Georgia,16976,43,20.1,22,14,1085,169,16.9,37,6406,1.37
26019,Benzie County,Michigan,17552,6.2,7.4,8.1,6.1,1351,296,29.6,37,4558,2.39
33003,Carroll County,New Hampshire,47840,4.1,9,11.2,8.5,5748,280,28,37,20547,2.25
30009,Carbon County,Montana,10546,5.6,11.7,13.7,9.3,692,251,25.1,36.8,2755,2.02
02220,Sitka City and Borough,Alaska,8738,38.1,18.3,24.1,14.4,866,184,18.4,36.7,4701,1.48
